#
# line_tag	ion   wavelength  f	    gamma      mass

FeIIId_726     FeIIId  726.4037  0.00012745  1.590e+09  55.845
NiII_727       NiII    727.0826  0.00367758  3.489e+07  58.693
NiII_727.1     NiII    727.1314  0.00498601  6.628e+07  58.693
NiII_727.14    NiII    727.1484  0.00034034  3.319e+06  58.693
FeIII_727      FeIII   727.6823  0.00728614  1.346e+09  55.845
FeIIIk_728     FeIIIk  728.5039  0.00643619  1.247e+09  55.845
FeIII_728      FeIII   728.8125  0.04244586  1.328e+09  55.845
FeIIIa_729     FeIIIa  729.3494  0.01321623  1.402e+09  55.845
FeIIIk_729     FeIIIk  729.3934  0.00279967  1.000e+09  55.845
FeIIIj_729     FeIIIj  729.6648  0.00016954  1.267e+09  55.845
FeIIIl_729     FeIIIl  729.7679  0.00013813  1.247e+09  55.845
FeIIIa_729.9   FeIIIa  729.9973  0.02948122  1.346e+09  55.845
FeIIIr_730     FeIIIr  730.2315  0.00027059  1.402e+09  55.845
FeIIIl_730     FeIIIl  730.6605  0.00025418  1.000e+09  55.845
FeIIIb_730     FeIIIb  730.8758  0.01850017  1.464e+09  55.845
FeIIIb_730.9   FeIIIb  730.9634  0.01666215  1.402e+09  55.845
FeIII_731      FeIII   731.0123  0.00017136  1.233e+09  55.845
FeIIIa_731     FeIIIa  731.1347  0.00256575  1.328e+09  55.845
FeIIIl_731     FeIIIl  731.4376  0.00676060  1.260e+09  55.845
FeIIIb_731     FeIIIb  731.6143  0.00899915  1.346e+09  55.845
FeIIIc_731     FeIIIc  731.8462  0.01833519  1.507e+09  55.845
FeIIIc_731.9   FeIIIc  731.9110  0.00681869  1.464e+09  55.845
FeIIIc_731.99  FeIIIc  731.9988  0.01834284  1.402e+09  55.845
FeIIIm_732     FeIIIm  732.2802  0.00064638  1.260e+09  55.845
NiII_732       NiII    732.3403  0.00027500  2.013e+07  58.693
NiII_732.3     NiII    732.3479  0.00141522  1.326e+07  58.693
FeIIId_732     FeIIId  732.4199  0.04198240  1.464e+09  55.845
FeIIIk_732     FeIIIk  732.4938  0.00112619  1.032e+09  55.845
FeIIIv_733     FeIIIv  733.0712  0.00013885  1.402e+09  55.845
FeIIIm_733     FeIIIm  733.1365  0.00744592  1.267e+09  55.845
FeIIIs_733     FeIIIs  733.3028  0.00826194  1.663e+09  55.845
FeIIIa_733     FeIIIa  733.3486  0.00088693  1.233e+09  55.845
FeIIIa_733.3   FeIIIa  733.3647  0.00093305  1.385e+09  55.845
FeIIIu_733     FeIIIu  733.4084  0.00230179  1.498e+09  55.845
FeIIIs_733.7   FeIIIs  733.7504  0.00255071  1.916e+09  55.845
FeIIIl_733     FeIIIl  733.7718  0.00331772  1.032e+09  55.845
FeIIIt_733     FeIIIt  733.8024  0.02394989  1.916e+09  55.845
FeIIIu_734     FeIIIu  734.0652  0.00069154  1.663e+09  55.845
FeIII_734      FeIII   734.2969  0.01640129  9.350e+08  55.845
FeIIIm_734     FeIIIm  734.6198  0.00033642  1.032e+09  55.845
NiII_734       NiII    734.6318  0.00024921  1.994e+07  58.693
FeIIIa_734     FeIIIa  734.7738  0.00017692  1.628e+09  55.845
FeIIIb_734     FeIIIb  734.9804  0.00010738  1.233e+09  55.845
FeIIIb_734.9   FeIIIb  734.9966  0.00139308  1.385e+09  55.845
NiIIa_735      NiIIa   735.1871  0.00029294  6.628e+07  58.693
FeIII_735      FeIII   735.2471  0.00057553  1.052e+09  55.845
FeIII_735.3    FeIII   735.3449  0.00191325  1.010e+09  55.845
FeIIIl_735     FeIIIl  735.3776  0.00052353  1.014e+09  55.845
NiII_735       NiII    735.9467  0.00072324  7.120e+06  58.693
FeIIIc_736     FeIIIc  736.0435  0.00051848  1.385e+09  55.845
FeIIIm_736     FeIIIm  736.2293  0.00331561  1.014e+09  55.845
FeIIIb_736     FeIIIb  736.4120  0.00048783  1.628e+09  55.845
FeIIIs_736     FeIIIs  736.4751  0.01377546  1.735e+09  55.845
NiII_736       NiII    736.6696  0.00062486  6.841e+06  58.693
FeIIIb_736.7   FeIIIb  736.7788  0.00049320  1.672e+09  55.845
FeIII_736      FeIII   736.8909  0.00016526  1.438e+09  55.845
NiII_736.9     NiII    736.9010  0.00024315  2.471e+06  58.693
FeIIIa_737     FeIIIa  737.0185  0.00082603  1.035e+09  55.845
FeIIIu_737     FeIIIu  737.2441  0.00127938  1.735e+09  55.845
NiII_737       NiII    737.2966  0.00277102  4.720e+07  58.693
NiII_737.3     NiII    737.3033  0.00455325  4.233e+07  58.693
NiII_737.33    NiII    737.3349  0.00134762  3.682e+07  58.693
NiII_737.34    NiII    737.3402  0.00063687  6.145e+06  58.693
NiII_737.36    NiII    737.3648  0.00085591  2.460e+07  58.693
FeIIIv_737     FeIIIv  737.4001  0.00012618  1.735e+09  55.845
FeIIIc_737     FeIIIc  737.4629  0.00010342  1.628e+09  55.845
FeIIIr_737     FeIIIr  737.5503  0.00131118  8.306e+08  55.845
FeIIIa_737.7   FeIIIa  737.7090  0.02559652  1.010e+09  55.845
FeIII_737      FeIII   737.7123  0.00018603  1.024e+09  55.845
FeIIIc_737.8   FeIIIc  737.8307  0.00052971  1.672e+09  55.845
NiII_737.9     NiII    737.9370  0.00054864  1.670e+08  58.693
FeIIIb_738     FeIIIb  738.0234  0.00019697  1.006e+09  55.845
NiII_738       NiII    738.1988  0.00045534  8.444e+06  58.693
NiII_738.2     NiII    738.2169  0.00044774  3.858e+07  58.693
FeIIIb_738.2   FeIIIb  738.2185  0.00086819  8.707e+08  55.845
NiII_738.3     NiII    738.3100  0.00103954  9.578e+06  58.693
NiII_738.5     NiII    738.5488  0.00811235  7.503e+07  58.693
FeIIIb_738.6   FeIIIb  738.6667  0.00045238  1.035e+09  55.845
FeIIIu_738     FeIIIu  738.7457  0.02230215  1.838e+09  55.845
FeIII_739      FeIII   739.0093  0.00118089  7.821e+08  55.845
FeIIIc_739     FeIIIc  739.0790  0.00333313  1.006e+09  55.845
FeIIIb_739     FeIIIb  739.2614  0.02879216  1.052e+09  55.845
FeIIIa_739     FeIIIa  739.2649  0.00042115  1.438e+09  55.845
FeIIId_739     FeIIId  739.5979  0.03838077  1.006e+09  55.845
FeIIIc_739.7   FeIIIc  739.7241  0.03049086  1.035e+09  55.845
FeIIIa_740     FeIIIa  740.0917  0.00076442  1.024e+09  55.845
NiIIa_740      NiIIa   740.5125  0.00204711  2.013e+07  58.693
NiIIa_740.6    NiIIa   740.6073  0.00067925  8.930e+06  58.693
NiIIa_740.68   NiIIa   740.6844  0.00080195  2.068e+07  58.693
